t (s),V (mV)
0,3.4788
1.018,3.4629
2.018,3.4548
3.018,3.4356
4.018,3.4145
5.018,3.3944
6.018,3.3766
7.018,3.3597
8.018,3.343
9.019,3.3254
10.018,3.309
11.018,3.2911
12.019,3.2738
13.018,3.2572
14.018,3.24
15.019,3.2227
16.018,3.2073
17.018,3.1903
18.018,3.1745
19.018,3.1569
20.019,3.1405
21.018,3.1248
22.019,3.1087
23.018,3.0944
24.018,3.0777
25.018,3.0616
26.018,3.0456
27.018,3.0298
28.019,3.0141
29.018,2.9998
30.018,2.9842
31.018,2.9695
32.018,2.9536
33.018,2.9384
34.018,2.9229
35.019,2.907
36.018,2.8927
37.018,2.8781
38.018,2.863
39.019,2.8477
40.018,2.8333
41.018,2.819
42.018,2.8043
43.018,2.7891
44.019,2.7742
45.018,2.7603
46.018,2.746
47.018,2.7307
48.018,2.7177
49.018,2.7035
50.018,2.6898
51.019,2.6748
52.019,2.6605
53.018,2.6474
54.018,2.6327
55.018,2.6195
56.018,2.6041
57.019,2.5901
58.018,2.5772
59.018,2.5666
60.019,2.552
61.018,2.5391
62.018,2.5249
63.018,2.5114
64.018,2.4984
65.019,2.4854
66.018,2.4726
67.018,2.4605
68.018,2.4467
69.018,2.4343
70.018,2.4218
71.018,2.409
72.018,2.3964
73.018,2.3832
74.019,2.3718
75.018,2.3588
76.018,2.3466
77.018,2.3348
78.018,2.3223
79.019,2.3102
80.018,2.2981
81.018,2.2857
82.018,2.2741
83.018,2.2618
84.019,2.2498
85.018,2.2388
86.018,2.2265
87.018,2.2149
88.018,2.2037
89.018,2.1919
90.019,2.1799
91.018,2.1691
92.018,2.1574
93.019,2.1464
94.018,2.1344
95.018,2.1238
96.018,2.1132
97.018,2.1016
98.018,2.0914
99.018,2.0796
100.018,2.0692
101.019,2.0589
102.019,2.0495
103.018,2.0381
104.019,2.0282
105.018,2.0171
106.018,2.0065
107.018,1.9959
108.019,1.9857
109.018,1.9753
110.018,1.9649
111.018,1.9547
112.018,1.9442
113.018,1.9336
114.018,1.9242
115.018,1.914
116.019,1.9036
117.018,1.8936
118.018,1.8836
119.018,1.8742
120.018,1.8639
121.018,1.8536
122.019,1.8443
123.018,1.835
124.018,1.8244
125.018,1.8139
126.018,1.8049
127.018,1.7943
128.018,1.7846
129.018,1.7747
130.018,1.7642
131.019,1.7542
132.018,1.7453
133.019,1.7351
134.018,1.7258
135.018,1.7163
136.018,1.7064
137.019,1.6964
138.019,1.6876
139.018,1.6793
140.018,1.6695
141.019,1.6597
142.018,1.6509
143.018,1.642
144.019,1.6325
145.018,1.6233
146.019,1.6141
147.018,1.605
148.019,1.597
149.018,1.5877
150.019,1.5792
151.018,1.5702
152.018,1.5621
153.019,1.5542
154.018,1.5459
155.018,1.5375
156.018,1.5294
157.018,1.5217
158.018,1.5136
159.019,1.5059
160.018,1.4971
161.018,1.4883
162.018,1.4799
163.018,1.4736
164.019,1.4654
165.018,1.4572
166.019,1.4499
167.019,1.4415
168.018,1.4339
169.018,1.4257
170.018,1.4172
171.018,1.4101
172.018,1.4015
173.018,1.3937
174.018,1.3855
175.018,1.3787
176.019,1.3702
177.018,1.3628
178.018,1.3548
179.019,1.3469
180.018,1.3392
181.019,1.3318
182.018,1.3242
183.019,1.3159
184.018,1.3083
185.018,1.3008
186.018,1.2933
187.018,1.2853
188.018,1.2778
189.018,1.2704
190.018,1.2627
191.019,1.2547
192.018,1.2472
193.018,1.2399
194.018,1.2327
195.019,1.2248
196.018,1.2177
197.018,1.2097
198.019,1.2022
199.018,1.1955
200.018,1.1876
201.018,1.1809
202.018,1.1734
203.019,1.1664
204.018,1.1593
205.018,1.1518
206.018,1.1457
