=0,000000000000000000*10^(+00)
=-1,037728949400503657*10^(-03)
=-1,313225639884835986*10^(-03)
=-2,904113372409285534*10^(-03)
=-3,774869817399194912*10^(-03)
=-4,646385140021287372*10^(-03)
=-5,518660664176387384*10^(-03)
=-6,391697717232653481*10^(-03)
=-7,308141553285896902*10^(-03)
=-8,140061736933200745*10^(-03)
=-8,865890601281734007*10^(-03)
=-9,870110545724739351*10^(-03)
=-1,098233875269670652*10^(-02)
=-1,177448583373729048*10^(-02)
=-1,258869598777944028*10^(-02)
=-1,361812045888811593*10^(-02)
=-1,469156567671553275*10^(-02)
=-1,555115226851877530*10^(-02)
=-1,654059116535445961*10^(-02)
=-1,761717977567998916*10^(-02)
=-1,865179641321346171*10^(-02)
=-1,983861211059197507*10^(-02)
=-2,096198927295381612*10^(-02)
=-2,191352585996263203*10^(-02)
=-2,306089839477640929*10^(-02)
=-2,414453344587559960*10^(-02)
=-2,527276094676281573*10^(-02)
=-2,629360138250121451*10^(-02)
=-2,738074708011213262*10^(-02)
=-2,840374280527189002*10^(-02)
=-2,955859056999639647*10^(-02)
=-3,073660117742877187*10^(-02)
=-3,191600113067698946*10^(-02)
=-3,283427484074951525*10^(-02)
=-3,397235467294072025*10^(-02)
=-3,511173120672618497*10^(-02)
=-3,623045904481993207*10^(-02)
=-3,737241278803217492*10^(-02)
=-3,866967223491989125*10^(-02)
=-3,963821663254287614*10^(-02)
=-4,069588149547881395*10^(-02)
=-4,175466619789629241*10^(-02)
=-4,285876029053581338*10^(-02)
=-4,405255271245584608*10^(-02)
=-4,526991914617926882*10^(-02)
=-4,637790339319599470*10^(-02)
=-4,746492030462380607*10^(-02)
=-4,853090010753434436*10^(-02)
=-4,966475009394737128*10^(-02)
=-5,075534769366973897*10^(-02)
=-5,195861001630622256*10^(-02)
=-5,300707366708964224*10^(-02)
=-5,410132449368046381*10^(-02)
=-5,515203829321779772*10^(-02)
=-5,629342486596421863*10^(-02)
=-5,739127967852419160*10^(-02)
=-5,844545779765874388*10^(-02)
=-5,936596840923879376*10^(-02)
=-5,986025047461681486*10^(-02)
=-6,035477697557996984*10^(-02)
=-6,192989937319856586*10^(-02)
=-6,330453198816717031*10^(-02)
=-6,488431114768553054*10^(-02)
=-6,633086791734726928*10^(-02)
=-6,741716037259716521*10^(-02)
=-6,861798069973450154*10^(-02)
=-6,970676182620942629*10^(-02)
=-7,102395593939353491*10^(-02)
=-7,218361362929720526*10^(-02)
=-7,323073414382264001*10^(-02)
=-7,416496227734899194*10^(-02)
=-7,555652869825577045*10^(-02)
=-7,663004158643182961*10^(-02)
=-7,768183086825797279*10^(-02)
=-7,880343327482283722*10^(-02)
=-8,004094374533901601*10^(-02)
=-8,102746519041803541*10^(-02)
=-8,235966558497904988*10^(-02)
=-8,348652991708452320*10^(-02)
=-8,466073890000695712*10^(-02)
=-8,572101328768390316*10^(-02)
=-8,685167392154853616*10^(-02)
=-8,798361439608398671*10^(-02)
=-8,916311890971719001*10^(-02)
=-9,013552128306134836*10^(-02)
=-9,129437739013075703*10^(-02)
=-9,247779575056348789*10^(-02)
=-9,352315271897970739*10^(-02)
=-9,452307141356863784*10^(-02)
=-9,580349622387519803*10^(-02)
=-9,685233735068611571*10^(-02)
=-9,794896940057555568*10^(-02)
=-9,895332558763372810*10^(-02)
=-1,001692449255812134*10^(-01)
=-1,012695224469502275*10^(-01)
=-1,024413609610986958*10^(-01)
=-1,035441426634455681*10^(-01)
=-1,046716444271642565*10^(-01)
=-1,058474788170423175*10^(-01)
=-1,069304689170068323*10^(-01)
=-1,081797177624595485*10^(-01)
=-1,091235815386125685*10^(-01)
=-1,102810300846067543*10^(-01)
=-1,114634826286721725*10^(-01)
=-1,124341381340425300*10^(-01)
=-1,134531559365408587*10^(-01)
=-1,144732131956356785*10^(-01)
=-1,156368738705414317*10^(-01)
=-1,168256802113622483*10^(-01)
=-1,179206316430314594*10^(-01)
=-1,190406260409874462*10^(-01)
=-1,202573598576393427*10^(-01)
=-1,212604887482728738*10^(-01)
=-1,222407051915893467*10^(-01)
=-1,235571404754706587*10^(-01)
=-1,245875619610669199*10^(-01)
=-1,257390554312299291*10^(-01)
=-1,266515957183674268*10^(-01)
=-1,277333135916604578*10^(-01)
=-1,287198985239979554*10^(-01)
=-1,296592615123235148*10^(-01)
=-1,307924880739406159*10^(-01)
=-1,320236139853141477*10^(-01)
=-1,329902646164091151*10^(-01)
=-1,341514801523508438*10^(-01)
=-1,354109871734770487*10^(-01)
=-1,363809193542699083*10^(-01)
=-1,374246467691893625*10^(-01)
=-1,385180874496386993*10^(-01)
=-1,396370639462633789*10^(-01)
=-1,407572939540686907*10^(-01)
=-1,418056015210908682*10^(-01)
=-1,429038456613006547*10^(-01)
=-1,439788518728165323*10^(-01)
=-1,452752819799121020*10^(-01)
=-1,464263541959574533*10^(-01)
=-1,473579779854207739*10^(-01)
=-1,484623403284739962*10^(-01)
=-1,495925060425966346*10^(-01)
=-1,504532711929479072*10^(-01)
=-1,514871683384393652*10^(-01)
=-1,527933754716999382*10^(-01)
=-1,541012910138146730*10^(-01)
=-1,552131297388000264*10^(-01)
=-1,563509551311719759*10^(-01)
=-1,573414219696039340*10^(-01)
=-1,585312785835461258*10^(-01)
=-1,596977199532200187*10^(-01)
=-1,613877491853784596*10^(-01)
=-1,619849126766251257*10^(-01)
=-1,628564158256212979*10^(-01)
=-1,640777976342983613*10^(-01)
=-1,653755915670752086*10^(-01)
=-1,666500660189440541*10^(-01)
=-1,678260216182745901*10^(-01)
=-1,686024094504541271*10^(-01)
=-1,703577637303593795*10^(-01)
=-1,714375825261908459*10^(-01)
=-1,726443405165633271*10^(-01)
=-1,736259048060310173*10^(-01)
=-1,749361577210737928*10^(-01)
=-1,761471476008827641*10^(-01)
=-1,773343312106825942*10^(-01)
=-1,784976219369158179*10^(-01)
=-1,796116025068221489*10^(-01)
=-1,806507479666286109*10^(-01)
=-1,818940716065781948*10^(-01)
=-1,831897870353770275*10^(-01)
=-1,842581088544386625*10^(-01)
=-1,853530505881654800*10^(-01)
=-1,865512203362389709*10^(-01)
=-1,875720713041022503*10^(-01)
=-1,887984696795388662*10^(-01)
